bookId,title,author,isbn
7838460,Burning Up Flint,Laurann Dohner,9781419926747
842395,The Roman Spring of Mrs. Stone,Tennessee Williams,9780811212496
49250,"D-Day, June 6, 1944: The Battle for the Normandy Beaches",Stephen E. Ambrose,9780743449748
2484167,The Painting,Nina Schuyler,9781565124417
1049509,Frenemies,Megan Crane,9780446698559
141498,Flight: My Life in Mission Control,Christopher Kraft,9780452283046
13184223,The Initiate,Megg Jensen,1230000002493
492069,Mélusine,Sarah Monette,9780441014170
22743249,Black Moon,"F.M. Sherrill, Becca C. Smith",9781500356316
8680278,We'll Always Have Summer,Jenny Han,9781416995586
8864817,"Little Gifts of Sustainable Contentment: One Minute Daily Reflections for Cultivating Mental, Emotional, Physical and Financial Well-Being.",C.J. Good,9781452844169
54766656,Falsely Accused of the Unthinkable,Glenis Kellet,9781913179328
224352,The Practical Heart: Four Novellas,Allan Gurganus,9780375727634
8144079,Leverage,Joshua C. Cohen,9780525423065
181010,The Dark Side of the Sun,Terry Pratchett,9780552133265
3115070,Hostage to Pleasure,Nalini Singh,9780425223253
3084002,The Blackwell Companion to Natural Theology,"William Lane Craig, J.P. Moreland",9781405176576
359581,The Courts of Chaos,"Roger Zelazny, Tim White",9789993911555
13185168,Rage Within,Jeyn Roberts,9781442423541
23149128,Extraordinary Means,Robyn Schneider,9780062217165
32777859,"Invincible: Ultimate Collection, Vol. 11","Robert Kirkman, Ryan Ottley, Cory Walker, Jean-Francois Beaulieu, Nathan Fairbairn",9781534300453
15894829,The Case of the Cosmological Killer: The Rendlesham Incident,Stephanie Osborn,9781606191934
3175530,Coraline: A Visual Companion,"Stephen Jones, Neil Gaiman",9780061704222
12275680,Wicked Business,Janet Evanovich,9780345527776
17087,I.,Stephen Dixon,9780971904705
19492935,The Filth,"Grant Morrison, Chris Weston",9781401200138
17909098,Moon Bear,Gill Lewis,9780192793539
24611981,An Ancient Peace,Tanya Huff,9780756409586
13813,A Darkness At Sethanon,Raymond E. Feist,9780586066881
704172,Murderous Maths,Kjartan Poskitt,9780439011563
537762,Imaginary Homelands: Essays and Criticism 1981-1991,Salman Rushdie,9780140140361
12550,"Stiff Upper Lip, Jeeves",P.G. Wodehouse,9781841591056
350788,The Weavers of Saramyr,Chris Wooding,9780575075429
22224,"Elisabeth: The Princess Bride, Austria - Hungary, 1853",Barry Denenberg,9780439266444
12630405,The Kane Chronicles Survival Guide,Rick Riordan,9781423153627
176711,Wraeththu,Storm Constantine,9780312890001
924194,The Last Book in the Universe,Rodman Philbrick,9780439087599
17333180,Magic Triumphs,Ilona Andrews,9780425270714
12576579,Night School,C.J. Daugherty,9781907411212
72159,Cat on a Hot Tin Roof,Tennessee Williams,9780811216012
804414,Rises The Night,Colleen Gleason,9780451221469
775975,Changeling,Cate Tiernan,9780142300572
17265176,La Bella Mafia,"Ashley Antoinette, JaQuavis Coleman",9781601625670
22877,The Gap Into Power: A Dark and Hungry God Arises,Stephen R. Donaldson,9780553562606
427830,The Cat Who Said Cheese,Lilian Jackson Braun,9780515120271
184324,Dark Demon,Christine Feehan,9780515140880
87348,Chekhov: The Cherry Orchard,"James N. Loehlin, Michael Robinson",9780521533300
7603,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,9780812971064
37737,Fudge-a-Mania,Judy Blume,9780425193822
10397655,Between,Jessica Warman,9780802721822
129270,In My Father's House,Ann Rinaldi,9780590447317
5215879,Skin Trade,Laurell K. Hamilton,9780425227725
268601,Glory in Death,J.D. Robb,9780425150986
6929147,What to Expect When You're Expected: A Fetus's Guide to the First Three Trimesters,"David Javerbaum, Mike Loew",9780385526470
12830940,The Burn,Annie Oldham,9781466342064
