loanId,bookId,memberId,checkout_date,due_date,checkin_date,status,overdue_days,is_overdue,penalty_amount
1,49250,126,2026-08-16,2026-08-30,,Borrowed,0,false,0.0
2,49250,53,2026-08-22,2026-09-05,,Borrowed,0,false,0.0
3,2484167,17,2026-08-18,2026-09-01,,Borrowed,0,false,0.0
4,1049509,120,2026-08-24,2026-09-07,,Borrowed,0,false,0.0
5,1049509,14,2026-08-19,2026-09-02,,Borrowed,0,false,0.0
6,1049509,280,2026-08-19,2026-09-02,,Borrowed,0,false,0.0
7,1049509,230,2026-08-20,2026-09-03,,Borrowed,0,false,0.0
8,1049509,82,2026-07-26,2026-08-09,2026-08-07,Returned,0,false,0.0
9,1049509,80,2025-12-25,2026-01-08,2026-01-02,Returned,0,false,0.0
10,141498,195,2026-02-07,2026-02-21,2026-02-12,Returned,0,false,0.0
11,13184223,177,2026-08-24,2026-09-07,,Borrowed,0,false,0.0
12,13184223,275,2026-07-07,2026-07-21,2026-07-19,Returned,0,false,0.0
13,13184223,194,2026-05-27,2026-06-10,2026-06-12,Returned,2,true,1.0
14,492069,151,2026-08-24,2026-09-07,,Borrowed,0,false,0.0
15,492069,186,2026-08-15,2026-08-29,,Borrowed,0,false,0.0
16,492069,36,2026-08-19,2026-09-02,,Borrowed,0,false,0.0
17,492069,117,2026-08-25,2026-09-08,,Borrowed,0,false,0.0
18,492069,41,2026-08-16,2026-08-30,,Borrowed,0,false,0.0
19,492069,233,2026-06-08,2026-06-22,2026-06-16,Returned,0,false,0.0
20,22743249,187,2026-08-18,2026-09-01,,Borrowed,0,false,0.0
21,22743249,182,2026-08-23,2026-09-06,,Borrowed,0,false,0.0
22,22743249,37,2026-03-15,2026-03-29,2026-03-26,Returned,0,false,0.0
23,8680278,88,2026-08-18,2026-09-01,,Borrowed,0,false,0.0
24,8680278,139,2026-05-07,2026-05-21,2026-05-16,Returned,0,false,0.0
25,8864817,286,2026-08-10,2026-08-24,,Borrowed,4,true,2.0
26,8864817,29,2026-02-13,2026-02-27,2026-02-26,Returned,0,false,0.0
27,54766656,206,2026-07-13,2026-07-27,2026-07-26,Returned,0,false,0.0
28,224352,109,2026-08-22,2026-09-05,,Borrowed,0,false,0.0
29,224352,203,2026-04-12,2026-04-26,2026-04-23,Returned,0,false,0.0
30,224352,136,2025-09-03,2025-09-17,2025-09-12,Returned,0,false,0.0
31,8144079,288,2026-08-23,2026-09-06,,Borrowed,0,false,0.0
32,8144079,299,2025-10-03,2025-10-17,2025-10-12,Returned,0,false,0.0
33,8144079,71,2026-01-06,2026-01-20,2026-01-14,Returned,0,false,0.0
34,181010,47,2026-08-19,2026-09-02,,Borrowed,0,false,0.0
35,181010,57,2026-08-16,2026-08-30,,Borrowed,0,false,0.0
36,181010,82,2026-08-23,2026-09-06,,Borrowed,0,false,0.0
37,181010,217,2026-08-15,2026-08-29,,Borrowed,0,false,0.0
38,3115070,240,2026-08-21,2026-09-04,,Borrowed,0,false,0.0
39,3115070,284,2026-08-19,2026-09-02,,Borrowed,0,false,0.0
40,3115070,6,2026-08-14,2026-08-28,,Borrowed,0,false,0.0
41,3115070,59,2026-08-17,2026-08-31,,Borrowed,0,false,0.0
42,3115070,275,2026-08-17,2026-08-31,,Borrowed,0,false,0.0
43,3115070,151,2025-09-04,2025-09-18,2025-09-12,Returned,0,false,0.0
44,3115070,2,2025-12-19,2026-01-02,2025-12-25,Returned,0,false,0.0
45,3084002,260,2025-11-15,2025-11-29,2025-11-27,Returned,0,false,0.0
46,3084002,153,2026-06-05,2026-06-19,2026-06-19,Returned,0,false,0.0
47,359581,260,2026-08-14,2026-08-28,,Borrowed,0,false,0.0
48,359581,79,2026-08-18,2026-09-01,,Borrowed,0,false,0.0
49,359581,272,2026-05-08,2026-05-22,2026-05-18,Returned,0,false,0.0
50,359581,251,2026-07-29,2026-08-12,2026-08-08,Returned,0,false,0.0
51,13185168,186,2026-08-26,2026-09-09,,Borrowed,0,false,0.0
52,13185168,158,2026-08-14,2026-08-28,,Borrowed,0,false,0.0
53,13185168,124,2026-08-22,2026-09-05,,Borrowed,0,false,0.0
54,13185168,41,2026-08-14,2026-08-28,,Borrowed,0,false,0.0
55,23149128,36,2026-08-16,2026-08-30,,Borrowed,0,false,0.0
56,23149128,273,2026-08-10,2026-08-24,,Borrowed,4,true,2.0
57,23149128,66,2026-08-16,2026-08-30,,Borrowed,0,false,0.0
58,23149128,282,2026-08-18,2026-09-01,,Borrowed,0,false,0.0
59,23149128,271,2026-08-23,2026-09-06,,Borrowed,0,false,0.0
60,23149128,217,2026-08-14,2026-08-28,,Borrowed,0,false,0.0
61,23149128,277,2026-08-11,2026-08-25,,Borrowed,3,true,1.5
62,23149128,103,2026-08-16,2026-08-30,,Borrowed,0,false,0.0
63,23149128,192,2026-01-06,2026-01-20,2026-01-23,Returned,3,true,1.5
64,23149128,232,2025-12-17,2025-12-31,2025-12-31,Returned,0,false,0.0
65,32777859,116,2026-08-24,2026-09-07,,Borrowed,0,false,0.0
66,32777859,11,2026-08-25,2026-09-08,,Borrowed,0,false,0.0
67,32777859,118,2026-08-18,2026-09-01,,Borrowed,0,false,0.0
68,32777859,4,2026-08-18,2026-09-01,,Borrowed,0,false,0.0
69,32777859,31,2026-08-24,2026-09-07,,Borrowed,0,false,0.0
70,32777859,17,2026-08-22,2026-09-05,,Borrowed,0,false,0.0
71,32777859,37,2026-08-14,2026-08-28,,Borrowed,0,false,0.0
72,32777859,110,2026-03-09,2026-03-23,2026-03-20,Returned,0,false,0.0
73,15894829,293,2026-08-19,2026-09-02,,Borrowed,0,false,0.0
74,15894829,125,2026-08-19,2026-09-02,,Borrowed,0,false,0.0
75,15894829,209,2026-08-16,2026-08-30,,Borrowed,0,false,0.0
76,15894829,50,2026-08-23,2026-09-06,,Borrowed,0,false,0.0
77,15894829,240,2026-01-29,2026-02-12,2026-02-07,Returned,0,false,0.0
78,15894829,51,2026-07-02,2026-07-16,2026-07-13,Returned,0,false,0.0
79,15894829,174,2026-06-28,2026-07-12,2026-07-06,Returned,0,false,0.0
80,12275680,98,2026-08-22,2026-09-05,,Borrowed,0,false,0.0
81,12275680,72,2026-08-19,2026-09-02,,Borrowed,0,false,0.0
82,12275680,128,2026-04-27,2026-05-11,2026-05-04,Returned,0,false,0.0
83,12275680,282,2026-06-21,2026-07-05,2026-06-30,Returned,0,false,0.0
84,12275680,277,2026-06-09,2026-06-23,2026-06-13,Returned,0,false,0.0
85,19492935,122,2026-08-11,2026-08-25,,Borrowed,3,true,1.5
86,19492935,249,2026-08-23,2026-09-06,,Borrowed,0,false,0.0
87,19492935,206,2026-08-20,2026-09-03,,Borrowed,0,false,0.0
88,17909098,2,2026-08-23,2026-09-06,,Borrowed,0,false,0.0
89,17909098,136,2026-08-10,2026-08-24,,Borrowed,4,true,2.0
90,17909098,233,2026-08-12,2026-08-26,,Borrowed,2,true,1.0
91,17909098,285,2026-08-22,2026-09-05,,Borrowed,0,false,0.0
92,17909098,112,2026-05-11,2026-05-25,2026-05-17,Returned,0,false,0.0
93,17909098,278,2026-06-30,2026-07-14,2026-07-10,Returned,0,false,0.0
94,17909098,30,2026-06-28,2026-07-12,2026-07-10,Returned,0,false,0.0
95,24611981,245,2026-08-25,2026-09-08,,Borrowed,0,false,0.0
96,24611981,272,2026-08-19,2026-09-02,,Borrowed,0,false,0.0
97,24611981,261,2026-08-23,2026-09-06,,Borrowed,0,false,0.0
98,24611981,96,2026-08-24,2026-09-07,,Borrowed,0,false,0.0
99,24611981,35,2026-08-24,2026-09-07,,Borrowed,0,false,0.0
100,24611981,292,2026-01-04,2026-01-18,2026-01-09,Returned,0,false,0.0
101,13813,21,2026-08-22,2026-09-05,,Borrowed,0,false,0.0
102,13813,215,2026-08-18,2026-09-01,,Borrowed,0,false,0.0
103,13813,290,2026-08-18,2026-09-01,,Borrowed,0,false,0.0
104,13813,134,2026-08-19,2026-09-02,,Borrowed,0,false,0.0
105,13813,203,2026-02-19,2026-03-05,2026-02-26,Returned,0,false,0.0
106,704172,154,2026-08-23,2026-09-06,,Borrowed,0,false,0.0
107,704172,38,2026-02-18,2026-03-04,2026-03-05,Returned,1,true,0.5
108,704172,289,2026-07-25,2026-08-08,2026-08-03,Returned,0,false,0.0
109,704172,110,2026-06-08,2026-06-22,2026-06-12,Returned,0,false,0.0
110,537762,68,2026-08-19,2026-09-02,,Borrowed,0,false,0.0
111,537762,190,2026-06-24,2026-07-08,2026-07-08,Returned,0,false,0.0
112,537762,279,2026-03-06,2026-03-20,2026-03-12,Returned,0,false,0.0
113,12550,271,2025-09-19,2025-10-03,2025-10-05,Returned,2,true,1.0
114,12550,284,2026-07-25,2026-08-08,2026-08-05,Returned,0,false,0.0
115,350788,54,2026-08-22,2026-09-05,,Borrowed,0,false,0.0
116,350788,69,2026-08-12,2026-08-26,,Borrowed,2,true,1.0
117,350788,284,2026-05-31,2026-06-14,2026-06-14,Returned,0,false,0.0
118,350788,108,2026-05-11,2026-05-25,2026-05-18,Returned,0,false,0.0
119,22224,136,2026-04-16,2026-04-30,2026-04-27,Returned,0,false,0.0
120,22224,27,2025-11-13,2025-11-27,2025-11-22,Returned,0,false,0.0
121,12630405,217,2026-08-24,2026-09-07,,Borrowed,0,false,0.0
122,12630405,23,2026-08-15,2026-08-29,,Borrowed,0,false,0.0
123,12630405,67,2026-08-26,2026-09-09,,Borrowed,0,false,0.0
124,12630405,283,2026-05-08,2026-05-22,2026-05-20,Returned,0,false,0.0
125,12630405,58,2025-12-23,2026-01-06,2026-01-02,Returned,0,false,0.0
