bookId,total_copies,available_copies
7838460,2,2
842395,1,1
49250,5,3
2484167,4,3
1049509,4,0
141498,3,3
13184223,2,1
492069,9,4
22743249,2,0
8680278,7,6
8864817,1,0
54766656,1,1
224352,2,1
8144079,4,3
181010,4,0
3115070,9,4
3084002,1,1
359581,9,7
13185168,4,0
23149128,9,1
32777859,7,0
15894829,4,0
3175530,8,8
12275680,5,3
17087,1,1
19492935,3,0
17909098,7,3
24611981,6,1
13813,5,1
704172,3,2
537762,4,3
12550,6,6
350788,2,0
22224,2,2
12630405,7,4
176711,2,2
924194,6,2
17333180,6,1
12576579,5,0
72159,1,1
804414,8,3
775975,9,2
17265176,2,1
22877,7,6
427830,2,2
184324,9,6
87348,5,4
7603,6,4
37737,4,4
10397655,2,1
129270,1,1
5215879,4,4
268601,5,5
6929147,2,0
12830940,4,1
18929,2,2
3534310,7,0
1523438,5,2
44660,8,3
202087,6,4
581409,3,0
12981613,6,6
40597810,6,3
32769,4,3
22030093,5,4
9380186,2,2
13542778,3,1
2842492,9,4
2642070,4,3
7114761,3,1
23464763,8,4
14386,7,7
54597,5,0
9802066,9,4
23019029,4,4
27712,6,0
13226173,1,0
3098445,4,1
43961,1,0
192954,6,0
11913095,7,6
60141,5,2
6940642,2,0
21449526,4,1
968868,6,1
325128,4,0
16282614,8,4
914608,7,5
3675828,8,6
969566,3,2
268565,5,0
89656,3,0
82999,4,1
114437,9,7
9826719,9,5
610718,5,4
1844205,7,1
862779,7,7
1042320,6,0
643483,4,0
915957,3,1
11557,9,4
100485,8,3
420416,2,1
179594,1,1
67377,2,0
311980,3,1
655601,3,2
4835838,7,6
431323,2,2
817501,7,7
13060189,7,4
129527,8,0
107318,9,5
5303373,5,1
11309018,9,6
867248,1,0
28873,2,1
7061,9,1
23002906,5,5
4025200,6,5
6488057,2,0
16127265,5,1
7165300,7,1
977145,3,0
6961797,8,5
417729,1,1
484550,5,0
21307056,9,1
130028,3,0
1297150,9,9
21430091,2,0
2157243,5,5
10199908,9,2
7024,4,0
2299685,3,3
9436632,6,0
9319468,3,3
298663,9,1
6757498,9,3
93779,1,1
936699,6,5
13495219,8,3
12002819,1,0
888947,2,0
4955576,6,2
440419,5,1
1824217,4,1
773459,1,0
13516050,4,2
228220,2,1
17262155,2,0
2043412,8,6
9503,2,1
104355,9,3
647597,3,2
4961571,3,1
30112,8,8
367687,9,4
414895,3,1
3702423,5,2
16099189,9,6
866402,7,1
87804,4,0
60218,9,6
392583,4,0
12832413,5,5
83412,7,5
28184,6,5
67141,8,4
28953118,9,4
38568,8,2
16137839,2,1
109692,4,0
18775247,4,4
24932397,2,1
6046158,6,6
2337398,1,1
78876,9,5
20767943,4,1
50453,4,3
28691932,1,1
17184229,2,2
161651,1,0
16130601,4,3
1295006,2,2
22324683,1,0
17332968,6,5
450784,2,2
76373,9,9
372100,4,2
7619,5,0
29254,8,8
1078076,4,0
416580,9,4
107792,3,2
47774,8,0
43684,4,1
4912857,8,3
71683,7,2
298381,4,1
21851827,2,1
85958,2,2
2320431,7,5
30259893,6,4
559899,7,3
13147885,7,5
10147914,8,8
16033880,1,0
18618842,2,2
22855313,1,0
77538,7,5
431386,6,5
1165534,2,0
3231403,4,4
35220,4,4
3867,4,0
3488375,9,5
13131,8,0
6366371,3,3
16001893,7,5
6319898,3,0
2218252,5,3
1384924,8,8
10658664,4,0
547281,2,2
585024,8,7
315425,9,3
26248,2,1
529582,1,1
7519179,9,4
12437907,1,0
15953857,2,1
8599748,4,1
18192663,3,2
19275608,7,7
17183049,8,7
885500,8,7
225590,4,3
14739062,7,4
9754997,1,1
571942,3,2
15852481,7,6
33774,1,1
374380,7,3
43037,5,0
174845,8,4
670339,5,3
883674,7,4
13115995,9,0
1203812,8,0
10586317,3,3
12643015,4,0
7054123,5,3
7984373,4,4
429024,1,0
25179,9,6
18481271,1,1
13155247,6,4
22168240,1,1
205662,1,0
13529,8,7
30518319,9,5
16687549,9,5
136542,3,1
20983366,1,1
12987640,9,7
41473851,2,2
17929776,3,1
17332564,2,2
12661,2,1
9303574,4,2
550343,7,6
289728,2,0
18975547,4,4
6780439,1,0
612143,2,0
8092497,7,1
1058636,9,0
31337,6,6
2547974,5,2
238463,4,0
3240765,6,3
36373,4,1
6539576,5,2
16006,7,4
12836009,3,2
8542839,5,5
311909,8,3
13358039,6,4
15713696,2,1
13230186,1,0
11899389,8,1
334801,2,1
3428935,2,0
66678,9,9
13147230,4,4
12842828,9,3
8550844,5,1
595405,3,2
20930200,6,3
532974,2,0
1019332,4,3
34964971,6,4
168568,5,1
18718606,3,3
22567177,8,2
270100,9,5
360625,5,5
1180893,9,1
9645351,1,1
23878,9,4
26690,5,1
5983694,2,0
22200,3,3
13003565,5,0
45276694,2,0
8496929,2,0
6992777,9,5
17669067,3,0
8664353,5,5
11044367,5,1
842355,4,4
220682,6,2
551520,4,1
1535134,5,5
12445556,9,9
60926,8,8
6464833,5,4
548118,1,1
5206937,2,1
446,7,2
796809,5,3
32527,1,1
472331,1,0
6329337,6,5
74532,3,1
428537,5,3
49614,3,0
201874,8,7
17707499,9,9
15733523,7,4
7815817,9,9
59091,1,1
20734410,2,2
30123368,2,1
709882,3,2
1934283,9,4
246274,1,1
334291,6,5
26075634,9,9
13575605,3,2
199786,7,7
3244406,3,0
357,1,0
197132,5,3
7831608,6,5
13543005,1,0
7776209,6,5
469901,4,0
13079,4,3
3609760,2,2
484714,6,6
1694501,9,4
40158,7,2
77489,3,3
69935,4,0
109508,3,1
5122453,3,1
1264696,7,2
11881560,1,1
16060716,3,0
551876,6,1
5598819,7,3
13157992,4,4
10338691,5,1
25893681,3,3
18419,2,2
18131200,7,2
11080437,1,1
687278,8,6
3735283,4,0
23174601,4,3
233044,8,6
345660,6,6
339352,5,2
243427,4,0
484667,4,2
6435893,1,0
30244,4,2
7565545,7,6
25663637,6,2
2277444,5,5
5356,2,1
74700,5,0
21491731,6,0
26114291,9,2
402022,7,6
1010711,9,3
782614,6,4
9513722,1,0
7670,2,0
19161888,5,0
15854532,3,2
479572,5,0
16307045,1,0
1754074,2,2
775973,7,2
24774,6,4
13365532,6,5
6507760,7,2
156182,9,0
830238,2,1
37530,7,4
407942,4,2
1556130,5,4
24394424,1,1
16248196,7,2
427062,1,0
101172,9,7
32829667,9,6
1828067,4,3
40109367,6,3
17348308,7,4
38355410,2,0
2535,6,1
16081320,6,4
36510404,2,0
5947993,5,2
16341,9,4
29236380,5,1
29233981,7,3
33418,6,6
6405929,7,7
7715816,5,1
46917,9,2
21894948,3,3
1319311,4,4
16093637,7,3
221274,7,6
675955,3,1
6428155,5,0
13152445,7,5
1389703,9,1
9112418,1,0
2566157,5,0
2074153,5,1
5060378,4,3
1000718,7,0
102440,6,3
17227745,8,7
279664,8,2
12988092,8,1
147844,4,2
7528717,9,3
118252,8,4
780344,3,3
6357433,2,2
309780,5,5
1165646,9,6
105301,6,6
6354623,2,1
64636,4,1
8248,5,3
6892626,4,0
6114317,4,2
26210,3,2
17279511,1,1
671039,1,0
70241,4,0
7081,8,0
13129612,2,1
60215,8,2
25294122,7,0
45160773,4,4
352749,7,3
11778281,8,1
213349,7,7
183015,4,1
607901,3,0
142460,1,1
6609744,2,0
9729504,7,7
15790837,4,4
15812779,3,1
69516,9,3
42960,8,7
357787,1,1
1045757,9,3
411527,4,0
346432,2,0
10900793,8,7
10114,3,1
28046407,8,4
10915,9,1
921359,9,4
668710,6,4
9663855,8,5
22546587,9,0
8855321,7,2
172228,9,7
1590632,8,5
547608,3,0
494164,8,8
754713,8,2
639787,5,3
439981,4,4
13505926,5,5
13228357,9,0
14241,8,0
373411,4,4
10254690,5,0
8041711,8,7
8220745,2,0
457228,5,1
18735913,4,0
273789,5,4
244338,6,5
2760876,6,5
709734,9,7
3576176,2,0
8765,3,1
12810834,3,0
3225253,4,4
107783,7,4
6095455,3,2
73932,4,1
752540,2,0
96263,7,5
821964,7,6
18300289,6,6
21853678,9,0
2313415,8,2
23411534,7,3
3759,1,0
6249757,4,0
3692,7,5
26109,7,7
107974,1,1
33143435,7,1
11000951,8,7
2411646,1,1
9962040,6,3
219557,5,4
178629,7,0
77432,7,3
9509456,9,2
10801,9,3
13827,4,0
97553,8,8
94798,4,4
52397,5,4
238126,7,0
14929224,8,6
94317,1,0
818449,7,4
48132,6,0
31242,7,7
2144900,3,2
144974,8,0
243245,3,1
581802,9,4
287380,1,0
143878,7,3
2257948,1,0
74821,2,0
97401,7,7
22056297,3,3
22010129,8,7
734935,3,2
12750295,1,1
26524368,5,2
176521,7,5
153594,6,5
2045705,4,4
11777020,8,5
217576,6,0
5972820,6,4
27229264,7,5
12751687,5,4
420729,7,1
9462637,5,2
15717298,2,1
15808602,8,0
30027206,1,1
4702458,9,9
19327024,1,1
96908,6,1
12548144,4,1
7944996,2,1
912147,1,1
898885,1,1
296363,4,3
23509377,4,1
8303977,1,1
22674054,3,1
6193923,4,4
18072607,3,3
1256825,8,5
121127,2,0
209682,4,4
14029,8,1
38548,5,2
6371455,6,6
136155,3,1
35154365,2,0
2205963,3,2
544257,5,1
221304,2,2
8952,1,1
1287272,5,5
815150,7,5
10073506,7,0
91746,4,2
559984,2,1
557220,4,1
486550,2,0
376641,5,3
10806008,2,1
17929785,1,1
10661081,6,5
12043770,9,3
27827203,7,4
539428,6,4
769787,2,0
209176,9,9
45343,6,2
13618037,1,0
6708,7,6
7830973,8,6
1348596,2,1
85795,7,4
11987358,6,0
113250,8,7
828127,3,3
669,7,5
1003985,3,2
49411424,9,7
14742449,5,2
2213324,9,9
21029898,8,1
251964,8,1
5031805,7,0
114967,5,3
2288562,6,5
11700412,4,3
826845,2,1
263081,5,5
318525,8,2
532608,4,3
420736,8,4
414655,7,1
12606552,6,4
5517,1,1
547102,8,3
55028,6,5
471174,3,3
129671,8,8
249929,4,4
158247,6,2
4709866,5,1
6419887,6,3
13367570,5,3
22825631,5,0
2641461,9,1
10844109,1,0
16074553,9,4
1286453,4,4
782057,2,0
33358438,4,0
11284,7,6
17074998,8,4
243257,9,5
22249695,4,4
533639,8,8
20317261,8,2
17311008,8,4
8347054,1,0
1070554,2,1
21535284,5,4
6081685,4,0
926803,7,4
304027,4,3
30748899,5,0
10512209,6,2
6928694,8,0
466223,9,7
7957,9,9
78977,6,1
7074079,7,6
1031533,9,5
12286,6,0
32434,6,6
26208458,8,8
228564,5,3
152405,5,2
39808670,5,3
456920,4,4
63657,2,0
8235178,4,3
94486,6,5
150037,2,2
6612005,9,2
2602455,3,0
9628203,4,1
1168341,4,1
49338,8,7
947848,5,1
8540960,9,5
469202,5,3
12926636,2,0
6076675,4,1
12560661,5,2
1481255,4,3
8253920,6,3
184997,3,1
737630,5,0
23622918,1,0
12098371,9,3
3689197,3,0
1582493,5,0
378414,1,1
184962,1,1
213206,9,8
332348,5,4
6288940,3,2
11515298,8,1
24876097,2,1
53835,1,0
11623,5,1
43641,8,4
3296447,8,2
36680734,8,5
34020178,6,6
1784490,3,3
862041,1,1
18498576,5,0
10349694,8,0
220189,2,2
4041119,2,2
294731,7,0
21726,8,5
1983987,2,1
2173611,1,0
26175543,3,3
14570,3,0
5528780,5,5
13494365,2,0
816462,4,0
6436330,2,0
2798263,9,4
12899838,7,1
606935,4,1
884259,9,6
35750305,7,5
11366397,8,3
11206,8,2
761154,5,4
126675,7,5
396082,5,3
13623874,1,1
6251471,2,2
922118,4,4
56594,4,3
21787,5,5
1020393,2,1
6608696,3,0
179106,4,3
9282,3,0
3173438,9,6
6316171,2,0
760025,3,0
2300985,1,1
2436306,7,4
5978724,8,6
50781,8,1
686306,5,2
13646,1,0
40511517,4,1
129327,5,3
20575434,5,0
129537,8,0
18139978,2,1
7600922,4,4
87985,5,0
295016,4,3
6450320,7,4
550454,2,1
68617,9,3
6545136,4,3
311095,3,3
37116468,5,0
8490112,3,3
82184,2,0
6498410,1,1
52323226,3,3
11525,5,1
554380,5,0
10046958,8,5
14781507,2,1
300650,8,7
427252,5,2
140099,7,0
906860,5,5
182543,9,5
729032,9,4
228062,8,5
11292802,8,8
43230472,2,1
2539772,1,1
186443,7,1
2785725,6,4
28920,5,1
29954,1,1
107480,2,2
591822,4,3
22383696,1,1
12997477,5,0
24481636,1,1
77589,3,1
7710150,8,7
18781466,9,8
15819028,8,5
15997,5,1
110018,3,0
18667954,7,4
28319471,8,1
24703,2,2
21059,8,8
311504,6,4
30265223,7,7
13003058,6,1
7744064,6,3
127663,2,0
15990489,3,2
30015623,6,5
2216762,7,2
15726371,8,1
8705784,5,5
2187,7,2
17620964,9,2
30672,1,0
7330453,8,3
1753685,2,2
493746,6,6
181276,5,4
25648276,6,6
4989,2,2
17357393,7,2
144977,9,1
84036,1,1
2372,9,9
35356382,8,0
9918128,7,0
271263,1,1
753065,4,0
9165406,9,3
18077903,6,6
6060450,8,2
854727,8,0
236859,1,1
51245,4,2
537070,5,4
54595,9,4
57045,3,2
688770,5,3
426912,8,7
95609,8,7
7229765,2,0
5184603,1,1
5053,4,2
545382,3,0
1968573,5,5
15808835,9,7
2037584,1,1
760984,9,6
25982806,7,0
1420557,2,1
15818254,4,2
294084,2,1
971424,8,8
14276,2,2
272895,3,1
9784,8,1
13573400,5,0
29547,9,6
15811568,5,5
11098871,7,4
1161439,8,5
103335,8,7
6654313,4,3
29360229,8,7
937628,9,7
13536649,3,3
18038459,7,5
13503247,4,3
12811,9,6
11372681,3,3
57412,2,1
84573,5,2
1152265,7,7
40122012,6,3
24611449,9,0
17556418,5,4
229127,1,1
439173,5,1
110535,5,0
2241558,8,8
83346,3,2
10357792,8,2
10559187,9,9
656876,8,6
1067940,6,2
14759655,6,2
13630113,9,5
17898670,9,2
7933617,7,1
77786,8,7
15819003,6,2
181729,4,0
1136210,4,2
18114449,7,7
1981112,4,4
385742,7,2
10954704,1,1
263111,6,1
557231,8,7
74404,7,5
473678,7,4
351198,3,2
920219,8,2
11597,1,0
1700000,3,0
107406,9,6
5762055,6,0
3030779,2,2
8318666,8,8
744981,2,1
13436345,9,0
9477896,8,6
9429895,1,0
574192,3,3
817377,7,3
23982,3,3
196766,2,2
16842,8,4
230852,5,0
23827762,6,0
15779,7,6
13538797,2,1
6562,6,1
22749536,9,4
12909098,7,6
71811,6,6
129131,8,6
7293149,9,3
1019541,1,0
37554154,2,0
6056519,4,1
277897,5,0
13192084,4,2
238367,2,0
61910,7,0
106069,2,0
6443318,2,0
211100,8,8
113985,3,1
2597783,5,4
3484906,1,0
52876,1,0
2530392,6,6
30199,1,0
229145,5,0
1498445,6,0
310330,6,0
2713810,7,4
398064,3,0
288766,4,3
23158936,9,5
49894219,7,4
20894732,3,2
2517439,3,2
13445216,3,3
415699,2,1
6655491,7,5
1088284,4,1
950153,8,4
1963638,3,2
6480584,4,1
12004035,8,6
653297,5,0
174442,8,5
321577,5,0
13576132,1,1
494320,8,3
228696,5,3
2083216,9,9
107499,3,3
22601568,2,1
185407,8,5
15793074,6,3
18469705,5,5
1170281,7,3
113441,5,2
15987008,8,1
182662,5,3
17287069,4,4
4314031,7,3
20880597,8,8
771507,2,1
31837,4,0
1017301,7,3
836512,6,2
208628,5,2
123479,5,3
137098,1,1
2994443,7,6
444337,5,1
442961,1,0
2177236,1,1
5118462,8,8
115610,5,3
455669,4,2
4985,6,0
509493,4,3
219812,4,4
2353037,5,1
6798263,3,2
26223177,2,2
13542982,1,1
13531506,5,0
23847971,8,1
13546400,1,0
82965,6,6
